year;day;temperature;humidity ;atmospheric pressure;;;;;TEMPERATURA;UMIDITA;PRESSIONE
2023;3/2;12,8;50;1007,8;;;;;;;
2023;3/3;7,8;49;1020,9;;;;;;;
2023;3/4;10,5;44;1021,6;;;;;;;
2023;3/5;9,5;57;1023,6;;;;;;;
2023;3/6;9,9;79;1019,8;;;;;;;
2023;3/7;12,1;65;1018,4;;;;;;;
2023;3/8;14;52;1018,3;;;;;;;
2023;3/9;15,9;55;1016,7;;;;;;;
2023;3/10;17,3;56;1015,1;;;;;;;
2023;3/11;14,7;44;1022,4;;;;;;;
2023;3/12;14,5;63;1021,4;;;;;;;
2023;3/13;13,9;75;1010,7;;;;;;;
2023;3/14;10;59;1018,9;;;;;;;
2023;3/15;12,3;65;1024,3;;;;;;;
2023;3/16;14,5;68;1020;;;;;;;
2023;3/17;12,5;78;1017,7;;;;;;;
2023;3/18;8,1;96;1011,1;;;;;;;
2023;3/19;10;57;1014,7;;;;;;;
2023;3/20;13,1;61;1016,2;;;;;;;
2023;3/21;14,7;72;1014;;;;;;;
2023;3/22;17,2;74;1014,2;;;;;;;
2023;3/23;16,5;98;1009,4;;;;;;;
2023;3/24;18,1;87;1004,4;;;;;;;
2023;3/25;11;95;1014,6;;;;;;;
2023;3/26;11,4;99;1008,4;;;;;;;
2023;3/27;13,4;55;1012,9;;;;;;;
2023;3/28;10,2;80;1019,9;;;;;;;
2023;3/29;12,6;72;1018,9;;;;;;;
2023;3/30;14,1;76;1017,4;;;;;;;
2023;3/31;15;73;1014,8;;;;;;;
2023;4/1;16;63;1013,5;;;;;;;
2023;4/2;14,1;67;1015,8;;;;;;;
2023;4/3;12,8;57;1019,9;;;;;;;
2023;4/4;14;54;1021,9;;;;;;;
2023;4/5;16,1;58;1019,6;;;;;;;
2023;4/6;18,8;67;1013,7;;;;;;;
2023;4/7;18,5;85;1006,8;;;;;;;
2023;4/8;14,6;70;1001,3;;;;;;;
2023;4/9;11,8;43;1013,3;;;;;;;
2023;4/10;14,6;47;1015,8;;;;;;;
2023;4/11;18,2;57;1013,6;;;;;;;
2023;4/12;19,2;66;1007;;;;;;;
2023;4/13;16,1;47;1014,8;;;;;;;
2023;4/14;18,2;59;1013,6;;;;;;;
2023;4/15;14,3;91;1004,5;;;;;;;
2023;4/16;16,2;89;992,7;;;;;;;
2023;4/17;15,1;46;1007,1;;;;;;;
2023;4/18;13,6;61;1014,6;;;;;;;
2023;4/19;18;69;1007;;;;;;;
2023;4/20;20,4;72;1007;;;;;;;
2023;4/21;21,6;66;1002;;;;;;;
2023;4/22;14,9;45;1009,9;;;;;;;
2023;4/23;14,2;38;1017,3;;;;;;;
2023;4/24;13,2;38;1020;;;;;;;
2023;4/25;14,1;56;1020,3;;;;;;;
2023;4/26;15,6;87;1004,5;;;;;;;
2023;4/27;17,2;52;1014,9;;;;;;;
2023;4/28;18,7;64;1018,4;;;;;;;
2023;4/29;19,4;66;1011,7;;;;;;;
2023;4/30;19,7;90;1001,3;;;;;;;
2023;5/1;17,8;70;1008,4;;;;;;;
2023;5/2;17,4;42;1018,1;;;;;;;
2023;5/3;17,8;59;1021,5;;;;;;;
2023;5/4;19,7;65;1016,4;;;;;;;
2023;5/5;21,1;61;1010,9;;;;;;;
2023;5/6;23;61;1004;;;;;;;
2023;5/7;17,6;92;1003,9;;;;;;;
2023;5/8;12,9;87;1002,8;;;;;;;
2023;5/9;15,1;53;1013,4;;;;;;;
2023;5/10;17,7;61;1011,5;;;;;;;
2023;5/11;15,8;76;1015,7;;;;;;;
2023;5/12;17,1;68;1018,1;;;;;;;
2023;5/13;16,7;83;1017,4;;;;;;;
2023;5/14;16,9;83;1013,5;;;;;;;
2023;5/15;16,1;94;1008,6;;;;;;;
2023;5/16;19,9;66;1008,5;;;;;;;
2023;5/17;22,8;67;1010,3;;;;;;;
2023;5/18;25,4;53;1011,1;;;;;;;
2023;5/19;20,6;79;1008,1;;;;;;;
2023;5/20;18,8;90;1006;;;;;;;
2023;5/21;21,1;79;1005,1;;;;;;;
2023;5/22;22,5;77;1001,4;;;;;;;
2023;5/23;13,9;93;1001,4;;;;;;;
2023;5/24;18,2;58;1007,9;;;;;;;
2023;5/25;18,6;64;1020;;;;;;;
2023;5/26;20,1;68;1021,3;;;;;;;
2023;5/27;21,2;66;1020,2;;;;;;;
2023;5/28;21,6;72;1015,2;;;;;;;
2023;5/29;19,8;97;1007,4;;;;;;;
2023;5/30;21,4;88;1005,2;;;;;;;
2023;5/31;19,3;71;1009;;;;;;;
2023;6/1;20,8;72;1010,6;;;;;;;
2023;6/2;21,3;99;999,7;;;;;;;
2023;6/3;20;82;997;;;;;;;
2023;6/4;21,6;67;1004,8;;;;;;;
2023;6/5;23,1;64;1006;;;;;;;
2023;6/6;20,7;78;1006,2;;;;;;;
2023;6/7;22,5;74;1005,6;;;;;;;
2023;6/8;23,1;73;1009,4;;;;;;;
2023;6/9;20,2;99;1002,6;;;;;;;
2023;6/10;22,4;87;1008,9;;;;;;;
2023;6/11;21,2;97;1009,2;;;;;;;
2023;6/12;21,3;100;1005,7;;;;;;;
2023;6/13;23,7;86;1001,2;;;;;;;
2023;6/14;23,6;87;1003,5;;;;;;;
2023;6/15;21,7;95;1004;;;;;;;
2023;6/16;24,6;66;1004,7;;;;;;;
2023;6/17;25,4;59;1008,9;;;;;;;
2023;6/18;25,7;72;1002,9;;;;;;;
2023;6/19;23,7;68;1002,3;;;;;;;
2023;6/20;22,5;68;1008,6;;;;;;;
2023;6/21;22,6;71;1009,7;;;;;;;
2023;6/22;19,9;84;1007,3;;;;;;;
2023;6/23;21,1;85;1005,6;;;;;;;
2023;6/24;24,7;78;1010,4;;;;;;;
2023;6/25;25,8;76;1011,9;;;;;;;
2023;6/26;25,9;77;1011,6;;;;;;;
2023;6/27;25,9;82;1011,5;;;;;;;
2023;6/28;27,1;80;1007,2;;;;;;;
2023;6/29;27,3;78;1003,2;;;;;;;
2023;6/30;26,3;89;1001,7;;;;;;;
2023;7/1;25,3;93;1001,1;;;;;;;
2023;7/2;26;79;1004,9;;;;;;;
2023;7/3;27,3;79;1003,6;;;;;;;
2023;7/4;25,9;75;1001,9;;;;;;;
2023;7/5;25,2;80;1001,5;;;;;;;
2023;7/6;26,4;82;1000,3;;;;;;;
2023;7/7;28,4;71;1006;;;;;;;
2023;7/8;27,8;77;1003,9;;;;;;;
2023;7/9;28,6;78;1002,6;;;;;;;
2023;7/10;30,2;72;1003,1;;;;;;;
2023;7/11;29,4;74;1004,9;;;;;;;
2023;7/12;30,8;66;1002,8;;;;;;;
2023;7/13;28;67;1003,4;;;;;;;
2023;7/14;27,4;76;1006,4;;;;;;;
2023;7/15;28,8;73;1005,6;;;;;;;
2023;7/16;30,2;71;1007;;;;;;;
2023;7/17;31,3;64;1010,4;;;;;;;
2023;7/18;31,8;59;1008,7;;;;;;;
2023;7/19;29,7;74;1001,9;;;;;;;
2023;7/20;28,1;71;1004,1;;;;;;;
2023;7/21;27,2;71;1011,6;;;;;;;
2023;7/22;27,2;70;1015,2;;;;;;;
2023;7/23;27,7;66;1013,8;;;;;;;
2023;7/24;28,5;70;1012,1;;;;;;;
2023;7/25;29,8;65;1012,4;;;;;;;
2023;7/26;31;59;1012,7;;;;;;;
2023;7/27;30,6;65;1012,2;;;;;;;
2023;7/28;30,4;69;1012,9;;;;;;;
2023;7/29;30;67;1013,6;;;;;;;
2023;7/30;30,3;69;1012,5;;;;;;;
2023;7/31;30,7;69;1010,5;;;;;;;
2023;8/1;26;88;1010,6;;;;;;;
2023;8/2;28,9;75;1009;;;;;;;
2023;8/3;30,2;69;1007,2;;;;;;;
2023;8/4;31,3;65;1004,1;;;;;;;
2023;8/5;30,4;71;1002,1;;;;;;;
2023;8/6;28,6;81;1001,6;;;;;;;
2023;8/7;29,4;76;1003,6;;;;;;;
2023;8/8;30,1;74;1006,1;;;;;;;
2023;8/9;28,2;90;1009,5;;;;;;;
2023;8/10;29,5;73;1009,6;;;;;;;
2023;8/11;29,5;72;1005,1;;;;;;;
2023;8/12;29,7;71;1001,4;;;;;;;
2023;8/13;27,4;94;1002,2;;;;;;;
2023;8/14;28,6;88;1002,2;;;;;;;
2023;8/15;28,6;85;1002,6;;;;;;;
2023;8/16;28,1;86;1003,3;;;;;;;
2023;8/17;29,9;77;1004,7;;;;;;;
2023;8/18;30;77;1007,2;;;;;;;
2023;8/19;30,3;76;1009,2;;;;;;;
2023;8/20;30,3;73;1009,3;;;;;;;
2023;8/21;29,8;76;1008,8;;;;;;;
2023;8/22;28,6;87;1009,1;;;;;;;
2023;8/23;29,4;82;1010,1;;;;;;;
2023;8/24;29,5;79;1010,9;;;;;;;
2023;8/25;29,6;74;1009,2;;;;;;;
2023;8/26;28,1;81;1008,1;;;;;;;
2023;8/27;28;78;1005,6;;;;;;;
2023;8/28;29,2;74;1005,4;;;;;;;
2023;8/29;29,4;74;1010,6;;;;;;;
2023;8/30;29,6;74;1013,1;;;;;;;
2023;8/31;29;74;1014,1;;;;;;;
2023;9/1;29,2;71;1012,1;;;;;;;
2023;9/2;29,6;72;1010,3;;;;;;;
2023;9/3;29,1;74;1010,6;;;;;;;
2023;9/4;26,1;96;1007,5;;;;;;;
2023;9/5;29,3;77;1005,2;;;;;;;
2023;9/6;27,5;79;1003,6;;;;;;;
2023;9/7;27;72;1007,9;;;;;;;
2023;9/8;21,9;98;1007,8;;;;;;;
2023;9/9;24,8;93;1006,8;;;;;;;
2023;9/10;27,8;83;1009,1;;;;;;;
2023;9/11;28,1;79;1010,1;;;;;;;
2023;9/12;27,7;76;1010;;;;;;;
2023;9/13;28;74;1010,9;;;;;;;
2023;9/14;28,2;80;1009,9;;;;;;;
2023;9/15;27,4;88;1010,9;;;;;;;
2023;9/16;27,9;86;1011,5;;;;;;;
2023;9/17;28,7;80;1011,5;;;;;;;
2023;9/18;28,9;74;1011,6;;;;;;;
2023;9/19;29;72;1010,1;;;;;;;
2023;9/20;27,2;82;1009,3;;;;;;;
2023;9/21;26,7;87;1006,7;;;;;;;
2023;9/22;24,8;93;1008,1;;;;;;;
2023;9/23;22,1;89;1012,5;;;;;;;
2023;9/24;22,2;67;1017,2;;;;;;;
2023;9/25;22,4;69;1017,1;;;;;;;
2023;9/26;24,6;71;1012,7;;;;;;;
2023;9/27;25,3;81;1008,1;;;;;;;
2023;9/28;27,4;79;1004,7;;;;;;;
2023;9/29;26,3;75;1009;;;;;;;
2023;9/30;25,6;77;1007,5;;;;;;;
2023;10/1;25,6;80;1003,4;;;;;;;
2023;10/2;23,3;57;1009,4;;;;;;;
2023;10/3;22,8;53;1014,6;;;;;;;
2023;10/4;18,7;94;1010,9;;;;;;;
2023;10/5;20;76;998,9;;;;;;;
2023;10/6;20,8;38;1005,6;;;;;;;
2023;10/7;20,4;41;1014,3;;;;;;;
2023;10/8;18,1;61;1022,3;;;;;;;
2023;10/9;15,4;99;1016,8;;;;;;;
2023;10/10;20,2;82;1006,6;;;;;;;
2023;10/11;19,8;59;1016;;;;;;;
2023;10/12;19,4;61;1018,5;;;;;;;
2023;10/13;18,5;55;1013,7;;;;;;;
2023;10/14;18,2;65;1008,7;;;;;;;
2023;10/15;14,9;99;1002,1;;;;;;;
2023;10/16;19;74;1005,8;;;;;;;
2023;10/17;19,5;56;1011,4;;;;;;;
2023;10/18;18,9;66;1017,7;;;;;;;
2023;10/19;20,3;71;1014,1;;;;;;;
2023;10/20;21,8;66;1003,8;;;;;;;
2023;10/21;19;47;1005,8;;;;;;;
2023;10/22;15,9;51;1017,6;;;;;;;
2023;10/23;16,7;60;1019,2;;;;;;;
2023;10/24;17,7;70;1017,6;;;;;;;
2023;10/25;17,7;75;1012,5;;;;;;;
2023;10/26;16,9;70;1010,1;;;;;;;
2023;10/27;17,8;69;1007,3;;;;;;;
2023;10/28;17,5;71;1006,9;;;;;;;
2023;10/29;16,3;63;1011;;;;;;;
2023;10/30;16,9;62;1017,5;;;;;;;
2023;10/31;17,2;72;1019,7;;;;;;;
2023;11/1;18;72;1016,8;;;;;;;
2023;11/2;18,2;68;1015,1;;;;;;;
2023;11/3;18,8;75;1016,3;;;;;;;
2023;11/4;19,7;79;1018,7;;;;;;;
2023;11/5;20;81;1023,6;;;;;;;
2023;11/6;21,4;87;1016,7;;;;;;;
